Time delta:  1.000000 seconds
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 0.560;  y = 9.397;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 0.619;  y = 9.293;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 0.679;  y = 9.190;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 0.739;  y = 9.086;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 0.798;  y = 8.983;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 0.858;  y = 8.880;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 0.918;  y = 8.776;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 0.978;  y = 8.673;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 1.037;  y = 8.570;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 1.097;  y = 8.466;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 1.157;  y = 8.363;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 1.216;  y = 8.259;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 1.276;  y = 8.156;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 1.336;  y = 8.053;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 1.395;  y = 7.949;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 1.455;  y = 7.846;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 1.515;  y = 7.742;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 1.574;  y = 7.639;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 1.634;  y = 7.536;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 1.694;  y = 7.432;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 1.753;  y = 7.329;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 1.813;  y = 7.225;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 1.873;  y = 7.122;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 1.933;  y = 7.019;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 1.992;  y = 6.915;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 2.052;  y = 6.812;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 2.112;  y = 6.709;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 2.171;  y = 6.605;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 2.231;  y = 6.502;  r = 299
vx =  0.054;  vy = -0.093;  vr =  0.000;  x = 2.291;  y = 6.398;  r = 299
vx =  0.054;  vy = -0.093;  vr =  0.000;  x = 2.344;  y = 6.305;  r = 299
vx =  0.054;  vy = -0.093;  vr =  0.000;  x = 2.398;  y = 6.212;  r = 299
vx =  0.054;  vy = -0.093;  vr =  0.000;  x = 2.452;  y = 6.119;  r = 299
vx =  0.054;  vy = -0.093;  vr =  0.000;  x = 2.506;  y = 6.026;  r = 299
vx =  0.054;  vy = -0.093;  vr =  0.000;  x = 2.559;  y = 5.933;  r = 299
vx =  0.054;  vy = -0.093;  vr =  0.000;  x = 2.613;  y = 5.840;  r = 299
vx =  0.054;  vy = -0.093;  vr =  0.000;  x = 2.667;  y = 5.747;  r = 299
vx =  0.054;  vy = -0.093;  vr =  0.000;  x = 2.720;  y = 5.654;  r = 299
vx =  0.054;  vy = -0.093;  vr =  0.000;  x = 2.774;  y = 5.561;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 2.828;  y = 5.468;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 2.888;  y = 5.365;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 2.947;  y = 5.261;  r = 299
